# File: data/simulation/qe_R12992-100-05.dat
# Provinance: Konrad Bernlohr's CTA PROD-3 sim_telarray package (retrieved 2016-11-08)
# - URL: https://www.mpi-hd.mpg.de/hfm/CTA/MC/Software/corsika_simtelarray_2016-06-30.tar.gz
#   -> sim_telarray_config.tar.gz
#   -> sim_telarray/cfg/CTA/qe_R12992-100-05.dat
# Copyright notice: data/copyright/bernlohr_simtelarray_copyright.txt
# License: CC-BY-SA-4.0

# Quantum efficiency of 15 PMTs of Hamamatsu type R12992-100-05.
# Data from Oleg Kalekin, University Erlangen, Nov. 2014.
# Col. 1: wavelength [nm]
# Col. 2: average QE [0...1]
# Col. 3: r.m.s. of QE of 15 PMTs (not used by sim_telarray)
# Col. 4: min QE of 15 PMTs (not used by sim_telarray)
# Col. 5: max QE of 15 PMTs (not used by sim_telarray)

 715	0.0077	0.0012	0.0060	0.0100
 720	0.0068	0.0010	0.0050	0.0090
 725	0.0069	0.0009	0.0060	0.0090
 730	0.0065	0.0008	0.0050	0.0080
 735	0.0057	0.0007	0.0050	0.0070
 740	0.0051	0.0008	0.0030	0.0060
 745	0.0050	0.0005	0.0040	0.0060
 750	0.0043	0.0005	0.0040	0.0050
 755	0.0039	0.0005	0.0030	0.0050
 760	0.0034	0.0010	0.0020	0.0060
 765	0.0023	0.0005	0.0020	0.0030
 770	0.0012	0.0004	0.0010	0.0020
 775	0.0014	0.0005	0.0010	0.0020
 780	0.0011	0.0003	0.0010	0.0020
 785	0.0009	0.0005	0.0000	0.0020
 790	0.0001	0.0004	0.0000	0.0010
 795	0.0000	0.0000	0.0000	0.0000
 800	0.0000	0.0000	0.0000	0.0000
