# File: data/simulation/ref_MST-North-MLT_2022_06_28.dat
# Provinance: Konrad Bernlohr's CTA PROD-6 sim_telarray package (retrieved 2022-07-25)
# - URL: https://gitlab.cta-observatory.org/Konrad.Bernloehr/sim_telarray/-/blob/ad8c9560089a092db45cbc07b14cdbf3c9cf22eb/cfg/CTA/ref_MST-North-MLT_2022_06_28.dat
# Copyright notice: https://gitlab.cta-observatory.org/Konrad.Bernloehr/sim_telarray/-/blob/ad8c9560089a092db45cbc07b14cdbf3c9cf22eb/Copyright
# License: CC-BY-SA-4.0
#
# Updated measurements received from Markus in an e-mail on the 28th of March, 2022.
# Please see comments in the README file in
#
# https://gitlab.cta-observatory.org/cta-science/simulations/simulation-model/verification/data-from-instrument-teams/mst-structure/mirror-reflectivity/README.md
#
# Wavelength [nm], Reflectivity, Min, Max
201 0.216227 0 0
202 0.25586 0 0
203 0.295998 0 0
204 0.335385 0 0
205 0.374574 0 0
206 0.410669 0 0
207 0.444569 0 0
208 0.475227 0 0
209 0.504952 0 0
210 0.530448 0 0
211 0.553547 0 0
212 0.574273 0 0
213 0.59293 0 0
214 0.609221 0 0
215 0.623578 0 0
216 0.636799 0 0
217 0.64807 0 0
218 0.658102 0 0
219 0.66722 0 0
220 0.67518 0 0
221 0.682023 0 0
222 0.688113 0 0
223 0.693286 0 0
224 0.698637 0 0
225 0.702283 0 0
226 0.705365 0 0
227 0.707578 0 0
228 0.709289 0 0
229 0.710176 0 0
230 0.710803 0 0
231 0.710595 0 0
232 0.710063 0 0
233 0.708819 0 0
234 0.707391 0 0
235 0.705334 0 0
236 0.703529 0 0
237 0.700682 0 0
238 0.6978 0 0
239 0.694325 0 0
240 0.690544 0 0
241 0.686326 0 0
242 0.682427 0 0
243 0.677087 0 0
244 0.672337 0 0
245 0.667347 0 0
246 0.661649 0 0
247 0.656249 0 0
248 0.650876 0 0
249 0.645101 0 0
250 0.6394 0.322 0.8572
251 0.6483 0.3393 0.8548
252 0.6598 0.3637 0.8571
253 0.6712 0.3834 0.8654
254 0.6781 0.394 0.8669
255 0.6874 0.4101 0.8655
256 0.695 0.4246 0.8616
257 0.6992 0.4353 0.8605
258 0.7053 0.4511 0.8649
259 0.7114 0.4674 0.8722
260 0.7154 0.4771 0.877
261 0.7211 0.4914 0.8821
262 0.7261 0.4984 0.8877
263 0.7297 0.5014 0.8902
264 0.7354 0.5052 0.8954
265 0.741 0.5094 0.9006
266 0.7447 0.5131 0.9038
267 0.7504 0.5197 0.9074
268 0.7562 0.5269 0.912
269 0.7602 0.5319 0.9149
270 0.7659 0.5403 0.9177
271 0.7715 0.5493 0.9208
272 0.7752 0.5559 0.9222
273 0.7807 0.5656 0.9245
274 0.786 0.575 0.9264
275 0.7895 0.5817 0.928
276 0.795 0.5922 0.9302
277 0.8005 0.6032 0.9322
278 0.8059 0.6137 0.934
279 0.8114 0.6246 0.9362
280 0.8152 0.6319 0.9378
281 0.8206 0.6423 0.9405
282 0.8262 0.6531 0.943
283 0.83 0.6613 0.9441
284 0.8358 0.6721 0.9478
285 0.8413 0.6828 0.9502
286 0.8447 0.6892 0.9516
287 0.8491 0.6986 0.9535
288 0.8527 0.7072 0.9536
289 0.8546 0.7129 0.9542
290 0.8568 0.7207 0.9534
291 0.859 0.7274 0.9527
292 0.8607 0.7321 0.9527
293 0.8635 0.739 0.9526
294 0.8664 0.7464 0.9532
295 0.8685 0.7508 0.9538
296 0.8719 0.7533 0.9543
297 0.8755 0.7557 0.9561
298 0.8779 0.7586 0.9565
299 0.8815 0.7615 0.9576
300 0.885 0.7647 0.9596
301 0.8874 0.7676 0.9597
302 0.8907 0.7711 0.9619
303 0.8939 0.7741 0.9628
304 0.8969 0.7785 0.9642
305 0.8998 0.7832 0.9654
306 0.9017 0.7847 0.9667
307 0.9045 0.7891 0.9677
308 0.9071 0.7934 0.9683
309 0.9088 0.7962 0.9698
310 0.9112 0.8004 0.9706
311 0.9136 0.8049 0.9713
312 0.9151 0.807 0.972
313 0.9174 0.8105 0.9728
314 0.9195 0.815 0.9736
315 0.9209 0.8169 0.973
316 0.923 0.8216 0.974
317 0.9248 0.8256 0.9745
318 0.9266 0.8289 0.9765
319 0.9283 0.8331 0.9769
320 0.9294 0.8342 0.9775
321 0.9309 0.8383 0.9783
322 0.9325 0.8423 0.9787
323 0.9333 0.8445 0.979
324 0.9348 0.8482 0.9797
325 0.9361 0.8505 0.9799
326 0.9369 0.8526 0.9796
327 0.9379 0.8556 0.9789
328 0.939 0.8586 0.9796
329 0.9396 0.8607 0.979
330 0.9406 0.8627 0.9797
331 0.9417 0.8664 0.9807
332 0.9426 0.8685 0.9798
333 0.9437 0.8708 0.981
334 0.9443 0.8727 0.9815
335 0.9454 0.8749 0.9807
336 0.9464 0.8775 0.9811
337 0.9469 0.8788 0.9811
338 0.9479 0.8812 0.9818
339 0.9487 0.883 0.9816
340 0.9492 0.8853 0.9819
341 0.95 0.8862 0.9814
342 0.9508 0.8884 0.9819
343 0.9515 0.891 0.9837
344 0.9521 0.8932 0.985
345 0.9526 0.8944 0.9857
346 0.9533 0.8964 0.9861
347 0.9542 0.8979 0.9866
