# File: data/simulation/NectarCAM_lightguide_efficiency_POP_131019.dat
#
# Provenance: CTAO GitLab simulation repository (retrieved 2022-07-25)
# - URL: https://gitlab.cta-observatory.org/cta-science/simulations/simulation-model/verification/data-from-instrument-teams/mst-nectarcam/light-cones/-/blob/24dd961b0c9fdec6418e6f418d62fce4aaa31544/NectarCAM_lightguide_efficiency_POP_131019.dat
#
# Based on NectarCAM_lightguide_rejec_POP_131019.dat,
# by P.-O. Petrucci 2019-10-13,
# replacing CTA-MST_lightguide_boost8_az-av_wl-av.dat
# (which was based on reject2 by P.-O. Petrucci 2017-10-06):
# Average efficiency between the extrem orientation angles
# but not really an average of all orientation angles.
#
# The original curves for six wavelengths (325/390/420/440/480/517 nm) were averaged
# according to weights derived from Cherenkov signal contributions in
# the intervals 200-355, 355-405, 406-430, 431-450, 451-500, and 501-1000 nm,
# using testeff (similar to options added with 'p4eff -nm -a MST-NC')
# and devided by cos(theta) since that is part of the ray-tracing. (KB 2019-11-05)
#
# The following weights were assumed in the w.l. averaging:
# W.l.     Ch.lt.  Weight
# 200-355: 12.950  0.2800
# 356-405: 11.915  0.2576
# 406-430:  5.147  0.1113
# 431-450:  3.571  0.0772
# 451-500:  6.365  0.1376
# 501-1000: 6.298  0.1363
#          ------  ------
#          46.246  1.0000
#
# Original comments from NectarCAM_lightguide_rejec_POP_131019.dat:
# Rejection curve: mean between 0 (face-to-face) and 30 (corner-to-corner) deg
# /user/workdir/petrucpi/CTA/REJCURVE
#
# Average between 5 control cones:
# 0110030-1:meanrej_0110030-1-19-01-31.dat
# 0110030-2:meanrej_0110030-2-19-02-21.dat
# 0110030-3:meanrej_0110030-3-19-02-01.dat
# 0110031-1:meanrej_0110031-1-19-01-29.dat
# 0110031-2:meanrej_0110031-2-19-01-29.dat
# Normalized by ((Trans ss cone)*conc) with conc=concentration factor=4.016
# Done by P.O. Petrucci 13th of October 2019
#
# Calculation with awk:
# awk 'BEGIN{ pi=atan2(0,-1.); d2r=pi/180.; r2d=180./pi }{ cf=1./cos($1*d2r); printf "%4.1f\t%9.6f\t#  (%9.7f * ...)\t%s\t%s\t%s\t%s\t%s\t%s\n",$1,($2*0.2800+$3*0.2576+$4*0.1113+$5*0.0772+$6*0.1376+$7*0.1363)*cf,cf,$2,$3,$4,$5,$6,$7; }'
#
# Theta  Av.eff.        #   1/cos(theta)     orig.: 325nm         390nm           420nm           440nm           480nm           517nm
28.0	 0.627918	#  (1.1325701 * ...)	0.533895	0.539661	0.540386	0.544827	0.579885	0.615655
29.0	 0.511180	#  (1.1433541 * ...)	0.429687	0.434853	0.435463	0.438805	0.468496	0.498528
30.0	 0.390037	#  (1.1547005 * ...)	0.324242	0.328226	0.328839	0.331194	0.354668	0.377647
31.0	 0.270384	#  (1.1666334 * ...)	0.222677	0.225037	0.225445	0.226960	0.243385	0.259296
32.0	 0.169842	#  (1.1791784 * ...)	0.138627	0.139984	0.140130	0.140938	0.151017	0.160689
33.0	 0.094905	#  (1.1923633 * ...)	0.0770243	0.0774657	0.0772762	0.0777103	0.0831188	0.0882986
34.0	 0.045586	#  (1.2062179 * ...)	0.0369798	0.0369000	0.0365606	0.0367104	0.0390143	0.0415362
35.0	 0.020645	#  (1.2207746 * ...)	0.0169598	0.0166133	0.0162798	0.0162978	0.0170577	0.0180897
36.0	 0.009300	#  (1.2360680 * ...)	0.00775599	0.00754853	0.00728942	0.00718855	0.00732146	0.00758875
37.0	 0.004567	#  (1.2521357 * ...)	0.00401127	0.00371927	0.00356657	0.00350506	0.00329235	0.00327118
38.0	 0.003364	#  (1.2690182 * ...)	0.00303239	0.00273786	0.00254868	0.00249622	0.00230049	0.00222673
39.0	 0.002894	#  (1.2867596 * ...)	0.00253947	0.00234665	0.00218572	0.00210019	0.00195966	0.00189384
40.0	 0.002625	#  (1.3054073 * ...)	0.00225292	0.00212948	0.00194811	0.00187270	0.00172874	0.00170563
41.0	 0.002400	#  (1.3250130 * ...)	0.00201654	0.00188943	0.00177252	0.00170473	0.00156738	0.00157942
42.0	 0.002227	#  (1.3456327 * ...)	0.00186512	0.00171289	0.00161755	0.00153317	0.00146179	0.00140916
43.0	 0.002079	#  (1.3673275 * ...)	0.00173296	0.00159555	0.00144528	0.00140721	0.00130958	0.00127835
44.0	 0.001925	#  (1.3901636 * ...)	0.00155606	0.00146924	0.00134175	0.00129281	0.00120911	0.00113721
45.0	 0.001790	#  (1.4142136 * ...)	0.00142425	0.00130905	0.00125671	0.00119395	0.00110318	0.00107066
46.0	 0.002056	#  (1.4395565 * ...)	0.00162775	0.00147258	0.00138188	0.00133386	0.00123819	0.00121948
